STATION,DATE,PRCP
GHCND:USW00023160,20110406,0
GHCND:USW00023160,20110407,0
GHCND:USW00023160,20110408,0
GHCND:USW00023160,20110409,71
GHCND:USW00023160,20110410,0
GHCND:USW00023160,20110411,0
GHCND:USW00023160,20110412,0
GHCND:USW00023160,20110413,0
GHCND:USW00023160,20110414,0
GHCND:USW00023160,20110415,0
GHCND:USW00023160,20110416,0
GHCND:USW00023160,20110417,0
GHCND:USW00023160,20110418,0
GHCND:USW00023160,20110419,0
GHCND:USW00023160,20110420,0
GHCND:USW00023160,20110421,0
GHCND:USW00023160,20110422,0
GHCND:USW00023160,20110423,0
GHCND:USW00023160,20110424,0
GHCND:USW00023160,20110425,0
GHCND:USW00023160,20110426,0
GHCND:USW00023160,20110427,0
GHCND:USW00023160,20110428,0
GHCND:USW00023160,20110429,0
GHCND:USW00023160,20110430,0
GHCND:USW00023160,20110501,0
GHCND:USW00023160,20110502,0
GHCND:USW00023160,20110503,0
GHCND:USW00023160,20110504,0
GHCND:USW00023160,20110505,0
GHCND:USW00023160,20110506,0
GHCND:USW00023160,20110507,0
GHCND:USW00023160,20110508,0
GHCND:USW00023160,20110509,0
GHCND:USW00023160,20110510,0
GHCND:USW00023160,20110511,0
GHCND:USW00023160,20110512,0
GHCND:USW00023160,20110513,0
GHCND:USW00023160,20110514,0
GHCND:USW00023160,20110515,0
GHCND:USW00023160,20110516,0
GHCND:USW00023160,20110517,0
GHCND:USW00023160,20110518,0
GHCND:USW00023160,20110519,0
GHCND:USW00023160,20110520,0
GHCND:USW00023160,20110521,0
GHCND:USW00023160,20110522,0
GHCND:USW00023160,20110523,0
GHCND:USW00023160,20110524,0
GHCND:USW00023160,20110525,0
GHCND:USW00023160,20110526,0
GHCND:USW00023160,20110527,0
GHCND:USW00023160,20110528,0
GHCND:USW00023160,20110529,0
GHCND:USW00023160,20110530,0
GHCND:USW00023160,20110531,0
GHCND:USW00023160,20110601,0
GHCND:USW00023160,20110602,0
GHCND:USW00023160,20110603,0
GHCND:USW00023160,20110604,0
GHCND:USW00023160,20110605,0
GHCND:USW00023160,20110606,0
GHCND:USW00023160,20110607,0
GHCND:USW00023160,20110608,0
GHCND:USW00023160,20110609,0
GHCND:USW00023160,20110610,0
GHCND:USW00023160,20110611,0
GHCND:USW00023160,20110612,0
GHCND:USW00023160,20110613,0
GHCND:USW00023160,20110614,0
GHCND:USW00023160,20110615,0
GHCND:USW00023160,20110616,0
GHCND:USW00023160,20110617,0
GHCND:USW00023160,20110618,0
GHCND:USW00023160,20110619,0
GHCND:USW00023160,20110620,0
GHCND:USW00023160,20110621,0
GHCND:USW00023160,20110622,0
GHCND:USW00023160,20110623,0
GHCND:USW00023160,20110624,0
GHCND:USW00023160,20110625,0
GHCND:USW00023160,20110626,0
GHCND:USW00023160,20110627,0
GHCND:USW00023160,20110628,0
GHCND:USW00023160,20110629,0
GHCND:USW00023160,20110630,8
GHCND:USW00023160,20110701,0
GHCND:USW00023160,20110702,0
GHCND:USW00023160,20110703,13
GHCND:USW00023160,20110704,112
GHCND:USW00023160,20110705,259
GHCND:USW00023160,20110706,0
GHCND:USW00023160,20110707,0
GHCND:USW00023160,20110708,0
GHCND:USW00023160,20110709,0
GHCND:USW00023160,20110710,0
GHCND:USW00023160,20110711,0
GHCND:USW00023160,20110712,0
GHCND:USW00023160,20110713,0
GHCND:USW00023160,20110714,0
GHCND:USW00023160,20110715,0
GHCND:USW00023160,20110716,0
GHCND:USW00023160,20110717,0
GHCND:USW00023160,20110718,0
GHCND:USW00023160,20110719,0
GHCND:USW00023160,20110720,18
GHCND:USW00023160,20110721,0
GHCND:USW00023160,20110722,0
GHCND:USW00023160,20110723,3
GHCND:USW00023160,20110724,8
GHCND:USW00023160,20110725,0
GHCND:USW00023160,20110726,0
GHCND:USW00023160,20110727,0
GHCND:USW00023160,20110728,3
GHCND:USW00023160,20110729,0
GHCND:USW00023160,20110730,3
GHCND:USW00023160,20110731,0
GHCND:USW00023160,20110801,0
GHCND:USW00023160,20110802,5
GHCND:USW00023160,20110803,28
GHCND:USW00023160,20110804,0
GHCND:USW00023160,20110805,0
GHCND:USW00023160,20110806,0
GHCND:USW00023160,20110807,112
